case_id,image_path,text,label,case_type,note
001,data/demo_cases/images/sample.jpg,"Mưa lớn gây ngập lụt nghiêm trọng tại nhiều tuyến phố Hà Nội, giao thông tê liệt hoàn toàn.",real,matched_image_text,"Ảnh và text khớp ngữ cảnh (thời tiết/ngập lụt)"
002,data/demo_cases/images/sample.jpg,"Khẩn cấp! Bão lớn vừa tàn phá miền Trung, chia sẻ ngay để nhận tiền cứu trợ!",suspicious,clickbait_text,"Text có dấu hiệu giật tít, lừa đảo, kêu gọi chia sẻ"
003,data/demo_cases/images/sport_crowd.jpg,"Đội tuyển Việt Nam giành chiến thắng kịch tính trước Thái Lan trong trận chung kết SEA Games.",real,matched_image_text,"Ảnh đám đông thể thao phù hợp với tin tức bóng đá"
004,data/demo_cases/images/sport_crowd.jpg,"Sốc: Đám đông bạo loạn đập phá siêu thị vì thiếu lương thực trầm trọng!",suspicious,mismatched_context,"Ảnh thể thao bị dùng sai ngữ cảnh thành bạo loạn"
005,data/demo_cases/images/test.jpg,"Khám phá vẻ đẹp thiên nhiên hoang sơ của vùng núi Tây Bắc Việt Nam.",real,matched_image_text,"Ảnh phong cảnh khớp với mô tả thiên nhiên"
006,data/demo_cases/images/test.jpg,"Kỳ lạ sinh vật ngoài hành tinh vừa được phát hiện tại vùng núi Việt Nam, xem ngay!",suspicious,clickbait_text,"Giật tít, nội dung phi lý ghép với ảnh phong cảnh thường"
007,data/demo_cases/images/sample.jpg,"Hàng loạt cây xanh gãy đổ sau cơn dông lốc chiều nay tại Thủ đô.",real,matched_image_text,"Tin tức thực tế, mô tả đúng sự kiện"
008,data/demo_cases/images/sample.jpg,"Tin chuẩn 100%: Cảnh báo sóng thần sắp đổ bộ vào bờ biển miền Nam, sơ tán ngay lập tức!",suspicious,mismatched_context,"Tin giả cảnh báo thảm họa sai sự thật"
009,data/demo_cases/images/sport_crowd.jpg,"Hàng ngàn cổ động viên đổ về sân vận động Mỹ Đình cổ vũ cho đội nhà.",real,matched_image_text,"Ảnh đám đông cổ động viên khớp text"
010,data/demo_cases/images/sport_crowd.jpg,"Cảnh sát đàn áp biểu tình đẫm máu tại thủ đô, truyền thông bị bịt miệng!",suspicious,mismatched_context,"Gán mác biểu tình bạo động cho ảnh thể thao"
011,data/demo_cases/images/test.jpg,"Dự án trồng rừng ngập mặn mới mang lại hiệu quả sinh thái tích cực.",real,matched_image_text,"Mô tả khớp với hình ảnh thiên nhiên"
012,data/demo_cases/images/test.jpg,"Chỉ với 1 ly nước này mỗi sáng, bay ngay 10kg mỡ thừa trong 3 ngày!",suspicious,clickbait_text,"Quảng cáo sai sự thật, không liên quan hình ảnh"
013,data/demo_cases/images/sample.jpg,"Lực lượng chức năng đang nỗ lực khơi thông hệ thống cống thoát nước tại điểm ngập sâu.",real,matched_image_text,"Thông tin sự kiện thời tiết bình thường"
014,data/demo_cases/images/sample.jpg,"Bí mật động trời: Nước sinh hoạt bị đầu độc làm hàng ngàn người nhập viện!",suspicious,clickbait_text,"Tin giả gây hoang mang dư luận"
015,data/demo_cases/images/sport_crowd.jpg,"Giải chạy marathon quốc tế thu hút sự tham gia của hơn 10.000 vận động viên.",real,matched_image_text,"Khớp với hình ảnh đông người tham gia sự kiện"
016,data/demo_cases/images/sport_crowd.jpg,"Hé lộ nguyên nhân vụ thảm sát kinh hoàng khiến 50 người thiệt mạng, click xem video!",suspicious,clickbait_text,"Dùng từ ngữ giật gân, câu views, không khớp ảnh"
017,data/demo_cases/images/test.jpg,"Sáng nay, sương mù dày đặc bao phủ toàn thành phố gây cản trở giao thông.",real,matched_image_text,"Phù hợp hình ảnh phong cảnh/thời tiết"
018,data/demo_cases/images/test.jpg,"Phát hiện mỏ vàng khổng lồ dưới chân núi, người dân đổ xô đi đào vàng!",suspicious,mismatched_context,"Tin đồn thất thiệt dụ dỗ người dân"
019,data/demo_cases/images/sample.jpg,"Hội đồng nhân dân thành phố họp bàn giải pháp chống ngập úng lâu dài.",real,matched_image_text,"Khớp ngữ cảnh giải quyết ngập lụt"
020,data/demo_cases/images/sample.jpg,"Tiên tri mù Vanga dự báo thảm họa diệt vong sẽ xảy ra vào tháng sau, đọc ngay để tránh!",suspicious,clickbait_text,"Mê tín dị đoan, câu views"
021,data/demo_cases/images/sport_crowd.jpg,"Lễ khai mạc hội khỏe Phù Đổng toàn quốc diễn ra hoành tráng và đầy màu sắc.",real,matched_image_text,"Mô tả chính xác một sự kiện thể thao lớn"
022,data/demo_cases/images/sport_crowd.jpg,"Bắt quả tang nghệ sĩ A thác loạn tập thể trong quán bar, hình ảnh không che!",suspicious,clickbait_text,"Tin đồn bôi nhọ danh dự người khác"
023,data/demo_cases/images/test.jpg,"Các chuyên gia cảnh báo về nguy cơ sạt lở đất tại các sườn đồi dốc sau mưa lớn.",real,matched_image_text,"Cảnh báo khoa học hợp lý"
024,data/demo_cases/images/test.jpg,"Chữa khỏi ung thư giai đoạn cuối chỉ bằng bài thuốc lá cây bí truyền này!",suspicious,clickbait_text,"Quảng cáo thuốc lừa đảo, phản khoa học"
025,data/demo_cases/images/sample.jpg,"Tuyến xe buýt số 02 tạm ngưng hoạt động do đường ngập sâu không thể di chuyển.",real,matched_image_text,"Thông báo giao thông thực tế"
026,data/demo_cases/images/sample.jpg,"Giám đốc công ty X ôm hàng ngàn tỷ đồng bỏ trốn ra nước ngoài trong đêm!",suspicious,mismatched_context,"Bịa đặt thông tin kinh tế"
027,data/demo_cases/images/sport_crowd.jpg,"Bầu không khí lễ hội sôi động tràn ngập các tuyến phố đi bộ vào cuối tuần.",real,matched_image_text,"Mô tả đúng hình ảnh đám đông vui vẻ"
028,data/demo_cases/images/sport_crowd.jpg,"Cảnh báo: Dịch bệnh zombie đã xuất hiện, quân đội đang phong tỏa thành phố!",suspicious,clickbait_text,"Hoàn toàn bịa đặt, không thể xảy ra"
029,data/demo_cases/images/test.jpg,"Chương trình phủ xanh đồi trọc đang nhận được sự ủng hộ nhiệt tình của người dân.",real,matched_image_text,"Tin tức tích cực về môi trường"
030,data/demo_cases/images/test.jpg,"Tin sốc: Người ngoài hành tinh đã xây dựng căn cứ bí mật dưới ngọn núi này!",suspicious,mismatched_context,"Tin giả liên quan đến UFO/người ngoài hành tinh"
